;;;TJ-50/E;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;3170,00 zł
;;;TJ-50/I;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;I;2,5-3,5;50;-;-;-;1;-;-;-;-;2480,00 zł
;;;TJ-50/II;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;II;2,5-3,5;50;-;-;-;1;-;-;-;-;1850,00 zł
;;;TJ-50/III;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;III;2,5-3,5;50;-;-;-;1;-;-;-;-;980,00 zł
;;;TJD-50/E;TARCICA JESION DŁUGA;SCHNITTHOLZ ESCHE LANG;ASH TIMBER LONG;Extra;4,5;50;-;-;-;1;-;-;-;-;3370,00 zł
;;;TJD-50/I;TARCICA JESION DŁUGA;SCHNITTHOLZ ESCHE LANG;ASH TIMBER LONG;I;4,5;50;-;-;-;1;-;-;-;-;2680,00 zł
;;;TJD-50/II;TARCICA JESION DŁUGA;SCHNITTHOLZ ESCHE LANG;ASH TIMBER LONG;II;4,5;50;-;-;-;1;-;-;-;-;2050,00 zł
;;;TJD-50/III;TARCICA JESION DŁUGA;SCHNITTHOLZ ESCHE LANG;ASH TIMBER LONG;III;4,5;50;-;-;-;1;-;-;-;-;1180,00 zł
;;;TJ-65/E;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;Extra;4,5;65;-;-;-;1;-;-;-;-;3370,00 zł
;;;TJ-65/I;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;I;4,5;65;-;-;-;1;-;-;-;-;2680,00 zł
;;;TJ-65/II;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;II;4,5;65;-;-;-;1;-;-;-;-;2050,00 zł
;;;TJ-65/III;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;III;4,5;65;-;-;-;1;-;-;-;-;1180,00 zł
;;;TB-26/E;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;Extra;2,5-3,5;26;-;-;-;1;-;-;-;-;1800,00 zł
;;;TB-26/I;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;I;2,5-3,5;26;-;-;-;1;-;-;-;-;1450,00 zł
;;;TB-26/II;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;II;2,5-3,5;26;-;-;-;1;-;-;-;-;1250,00 zł
;;;TB-26/III;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;III;2,5-3,5;26;-;-;-;1;-;-;-;-;750,00 zł
;;;TB-26/T;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;Twar.;2,5-3,5;26;-;-;-;1;-;-;-;-;1150,00 zł
;;;TB-38/E;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;Extra;2,5-3,5;38;-;-;-;1;-;-;-;-;1980,00 zł
;;;TB-38/I;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;I;2,5-3,5;38;-;-;-;1;-;-;-;-;1530,00 zł
;;;TB-38/II;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;II;2,5-3,5;38;-;-;-;1;-;-;-;-;1330,00 zł
;;;TB-38/III;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;III;2,5-3,5;38;-;-;-;1;-;-;-;-;980,00 zł
;;;TB-38/T;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;Twar.;2,5-3,5;38;-;-;-;1;-;-;-;-;1380,00 zł
;;;TB-50/E;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;1980,00 zł
;;;TB-50/I;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;I;2,5-3,5;50;-;-;-;1;-;-;-;-;1530,00 zł
;;;TB-50/II;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;II;2,5-3,5;50;-;-;-;1;-;-;-;-;1330,00 zł
;;;TB-50/III;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;III;2,5-3,5;50;-;-;-;1;-;-;-;-;980,00 zł
;;;TB-50/T;TARCICA BUK;SCHNITTHOLZ BUCHE;BEECH TIMBER;Twar.;2,5-3,5;50;-;-;-;1;-;-;-;;1380,00 zł
;;;TBP-26/E;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;Extra;2,5-3,5;26;-;-;-;1;-;-;-;-;1800,00 zł
;;;TBP-26/I;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;I;2,5-3,5;26;-;-;-;1;-;-;-;-;1600,00 zł
;;;TBP-26/II;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;II;2,5-3,5;26;-;-;-;1;-;-;-;-;1400,00 zł
;;;TBP-26/III;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;III;2,5-3,5;26;-;-;-;1;-;-;-;-;900,00 zł
;;;TBP-26/T;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;Twar.;2,5-3,5;26;-;-;-;1;-;-;-;-;1300,00 zł
;;;TBP-38/E;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;Extra;2,5-3,5;38;-;-;-;1;-;-;-;-;2190,00 zł
;;;TBP-38/I;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;I;2,5-3,5;38;-;-;-;1;-;-;-;-;1680,00 zł
;;;TBP-38/II;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;II;2,5-3,5;38;-;-;-;1;-;-;-;-;1480,00 zł
;;;TBP-38/III;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;III;2,5-3,5;38;-;-;-;1;-;-;-;-;980,00 zł
;;;TBP-38/T;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;Twar.;2,5-3,5;38;-;-;-;1;-;-;-;-;1380,00 zł
;;;TBP-50/E;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;2190,00 zł
;;;TBP-50/I;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;I;2,5-3,5;50;-;-;-;1;-;-;-;-;1680,00 zł
;;;TBP-50/II;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;II;2,5-3,5;50;-;-;-;1;-;-;-;-;1480,00 zł
;;;TBP-50/III;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;III;2,5-3,5;50;-;-;-;1;-;-;-;-;980,00 zł
;;;TBP-50/T;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;Twar.;2,5-3,5;50;-;-;-;1;-;-;-;-;1380,00 zł
;;;TBP-80/I;TARCICA BUK PARZONY;SCHNITTHOLZ BUCHE GEDÄMPFT;BEECH TIMBER STEAMED;I;2,5-3,5;80;-;-;-;1;-;-;-;-;1880,00 zł
;;;TS-25/E;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;Extra;3-5;25;-;-;-;1;-;-;-;-;1680,00 zł
;;;TS-25/I;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;I;3-5;25;-;-;-;1;-;-;-;-;1300,00 zł
;;;TS-25/II;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;II;3-5;25;-;-;-;1;-;-;-;-;890,00 zł
;;;TS-25/III;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;III;3-5;25;-;-;-;1;-;-;-;-;680,00 zł
;;;TS-32/E;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;Extra;3-5;32;-;-;-;1;-;-;-;-;1780,00 zł
;;;TS-32/I;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;I;3-5;32;-;-;-;1;-;-;-;-;1380,00 zł
;;;TS-32/II;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;II;3-5;32;-;-;-;1;-;-;-;-;940,00 zł
;;;TS-32/III;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;III;3-5;32;-;-;-;1;-;-;-;-;750,00 zł
;;;TS-38/E;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;Extra;3-4,3;38;-;-;-;1;-;-;-;-;1780,00 zł
;;;TS-38/I;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;I;3-4,3;38;-;-;-;1;-;-;-;-;1380,00 zł
;;;TS-38/II;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;II;3-4,3;38;-;-;-;1;-;-;-;-;940,00 zł
;;;TS-38/III;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;III;3-4,3;38;-;-;-;1;-;-;-;-;750,00 zł
;;;TS-50/E;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;Extra;4,3;50;-;-;-;1;-;-;-;-;1780,00 zł
;;;TS-50/I;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;I;4,3;50;-;-;-;1;-;-;-;-;1380,00 zł
;;;TS-50/II;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;II;4,3;50;-;-;-;1;-;-;-;-;940,00 zł
;;;TS-50/III;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;III;4,3;50;-;-;-;1;-;-;-;-;750,00 zł
;;;TS-63/E;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;Extra;4,3;63;-;-;-;1;-;-;-;-;1780,00 zł
;;;TS-63/I;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;I;4,3;63;-;-;-;1;-;-;-;-;1380,00 zł
;;;TS-63/II;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;II;4,3;63;-;-;-;1;-;-;-;-;940,00 zł
;;;TS-63/III;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;III;4,3;63;-;-;-;1;-;-;-;-;750,00 zł
;;;TS-76/E;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;Extra;4,3;76;-;-;-;1;-;-;-;-;1780,00 zł
;;;TS-76/I;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;I;4,3;76;-;-;-;1;-;-;-;-;1380,00 zł
;;;TS-76/II;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;II;4,3;76;-;-;-;1;-;-;-;-;940,00 zł
;;;TS-76/III;TARCICA SOSNA;SCHNITTHOLZ KIEFER;PINE TIMBER;III;4,3;76;-;-;-;1;-;-;-;-;750,00 zł
;;;TBR-28/E;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;Extra;2,5-3;28;-;-;-;1;-;-;-;-;1620,00 zł
;;;TBR-28/I;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;I;2,5-3;28;-;-;-;1;-;-;-;-;1300,00 zł
;;;TBR-28/II;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;II;2,5-3;28;-;-;-;1;-;-;-;-;880,00 zł
;;;TBR-28/III;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;III;2,5-3;28;-;-;-;1;-;-;-;-;680,00 zł
;;;TBR-38/E;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;Extra;2,5-3;38;-;-;-;1;-;-;-;-;1720,00 zł
;;;TBR-38/I;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;I;2,5-3;38;-;-;-;1;-;-;-;-;1380,00 zł
;;;TBR-38/II;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;II;2,5-3;38;-;-;-;1;-;-;-;-;900,00 zł
;;;TBR-38/III;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;III;2,5-3;38;-;-;-;1;-;-;-;-;680,00 zł
;;;TBR-50/E;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;Extra;2,5-3;50;-;-;-;1;-;-;-;-;1720,00 zł
;;;TBR-50/I;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;I;2,5-3;50;-;-;-;1;-;-;-;-;1380,00 zł
;;;TBR-50/II;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;II;2,5-3;50;-;-;-;1;-;-;-;-;900,00 zł
;;;TBR-50/III;TARCICA BRZOZA;SCHNITTHOLZ BIRKE;BIRCH TIMBER;III;2,5-3;50;-;-;-;1;-;-;-;-;680,00 zł
;;;TO-28/E;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;Extra;2,5-3;28;-;-;-;1;-;-;-;-;1680,00 zł
;;;TO-28/I;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;I;2,5-3;28;-;-;-;1;-;-;-;-;1380,00 zł
;;;TO-28/II;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;II;2,5-3;28;-;-;-;1;-;-;-;-;990,00 zł
;;;TO-28/III;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;III;2,5-3;28;-;-;-;1;-;-;-;-;700,00 zł
;;;TO-38/E;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;Extra;2,5-3;38;-;-;-;1;-;-;-;-;1780,00 zł
;;;TO-38/I;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;I;2,5-3;38;-;-;-;1;-;-;-;-;1410,00 zł
;;;TO-38/II;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;II;2,5-3;38;-;-;-;1;-;-;-;-;990,00 zł
;;;TO-38/III;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;III;2,5-3;38;-;-;-;1;-;-;-;-;700,00 zł
;;;TO-38/T;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;Twar.;2,5-3;38;-;-;-;1;-;-;-;-;780,00 zł
;;;TO-50/E;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;Extra;2,5-3;50;-;-;-;1;-;-;-;-;1780,00 zł
;;;TO-50/I;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;I;2,5-3;50;-;-;-;1;-;-;-;-;1410,00 zł
;;;TO-50/II;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;II;2,5-3;50;-;-;-;1;-;-;-;-;990,00 zł
;;;TO-50/III;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;III;2,5-3;50;-;-;-;1;-;-;-;-;700,00 zł
;;;TO-50/T;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;Twar.;2,5-3;50;-;-;-;1;-;-;-;-;780,00 zł
;;;TO-65/E;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;Extra;2,5-3;65;-;-;-;1;-;-;-;-;1780,00 zł
;;;TO-65/I;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;I;2,5-3;65;-;-;-;1;-;-;-;-;1410,00 zł
;;;TO-65/II;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;II;2,5-3;65;-;-;-;1;-;-;-;-;990,00 zł
;;;TO-65/III;TARCICA OLCHA;SCHNITTHOLZ ERLE;ALDER TIMBER;III;2,5-3;65;-;-;-;1;-;-;-;-;700,00 zł
;;;TM-32/E;TARCICA MODRZEW;SCHNITTHOLZ LÄRCHE;LARCH TIMBER;Extra;3-5;32;-;-;-;1;-;-;-;-;2100,00 zł
;;;TM-32/I;TARCICA MODRZEW;SCHNITTHOLZ LÄRCHE;LARCH TIMBER;I;3-5;32;-;-;-;1;-;-;-;-;1680,00 zł
;;;TM-32/II;TARCICA MODRZEW;SCHNITTHOLZ LÄRCHE;LARCH TIMBER;II;3-5;32;-;-;-;1;-;-;-;-;1080,00 zł
;;;TM-32/III;TARCICA MODRZEW;SCHNITTHOLZ LÄRCHE;LARCH TIMBER;III;3-5;32;-;-;-;1;-;-;-;-;780,00 zł
;;;TM-50/E;TARCICA MODRZEW;SCHNITTHOLZ LÄRCHE;LARCH TIMBER;Extra;4;50;-;-;-;1;-;-;-;-;2100,00 zł
;;;TM-50/I;TARCICA MODRZEW;SCHNITTHOLZ LÄRCHE;LARCH TIMBER;I;4;50;-;-;-;1;-;-;-;-;1680,00 zł
;;;TM-50/II;TARCICA MODRZEW;SCHNITTHOLZ LÄRCHE;LARCH TIMBER;II;4;50;-;-;-;1;-;-;-;-;1080,00 zł
;;;TM-50/III;TARCICA MODRZEW;SCHNITTHOLZ LÄRCHE;LARCH TIMBER;III;4;50;-;-;-;1;-;-;-;-;780,00 zł
;;;TK-50/E;TARCICA KLON;SCHNITTHOLZ AHORN;MAPLE TIMBER;Extra;2,5-3;50;-;-;-;1;-;-;-;-;3390,00 zł
;;;TK-50/I;TARCICA KLON;SCHNITTHOLZ AHORN;MAPLE TIMBER;I;2,5-3;50;-;-;-;1;-;-;-;-;2850,00 zł
;;;TK-50/II;TARCICA KLON;SCHNITTHOLZ AHORN;MAPLE TIMBER;II;2,5-3;50;-;-;-;1;-;-;-;-;1980,00 zł
;;;TK-50/III;TARCICA KLON;SCHNITTHOLZ AHORN;MAPLE TIMBER;III;2,5-3;50;-;-;-;1;-;-;-;-;1350,00 zł
;;;TCZ-28/E;TARCICA CZEREŚNIA;SCHNITTHOLZ VOGELKIRSCHE;CHERRY TIMBER;Extra;2,5-3;28;-;-;-;1;-;-;-;-;3650,00 zł
;;;TCZ-28/I;TARCICA CZEREŚNIA;SCHNITTHOLZ VOGELKIRSCHE;CHERRY TIMBER;I;2,5-3;28;-;-;-;1;-;-;-;-;2950,00 zł
;;;TCZ-28/II;TARCICA CZEREŚNIA;SCHNITTHOLZ VOGELKIRSCHE;CHERRY TIMBER;II;2,5-3;28;-;-;-;1;-;-;-;-;2150,00 zł
;;;TCZ-28/III;TARCICA CZEREŚNIA;SCHNITTHOLZ VOGELKIRSCHE;CHERRY TIMBER;III;2,5-3;28;-;-;-;1;-;-;-;-;1350,00 zł
;;;TCZ-38/E;TARCICA CZEREŚNIA;SCHNITTHOLZ VOGELKIRSCHE;CHERRY TIMBER;Extra;2,5-3;38;-;-;-;1;-;-;-;-;3650,00 zł
;;;TCZ-38/I;TARCICA CZEREŚNIA;SCHNITTHOLZ VOGELKIRSCHE;CHERRY TIMBER;I;2,5-3;38;-;-;-;1;-;-;-;-;3950,00 zł
;;;TCZ-38/II;TARCICA CZEREŚNIA;SCHNITTHOLZ VOGELKIRSCHE;CHERRY TIMBER;II;2,5-3;38;-;-;-;1;-;-;-;-;2150,00 zł
;;;TCZ-38/III;TARCICA CZEREŚNIA;SCHNITTHOLZ VOGELKIRSCHE;CHERRY TIMBER;III;2,5-3;38;-;-;-;1;-;-;-;-;1350,00 zł
;;;TA-28/I;TARCICA AKACJA PARZONA;SCHNITTHOLZ AKAZIE GEDÄMPFT;ACACIA TIMBER STEAMED;I;2-3,5;28;-;-;-;1;-;-;-;-;2350,00 zł
;;;TA-28/II;TARCICA AKACJA PARZONA;SCHNITTHOLZ AKAZIE GEDÄMPFT;ACACIA TIMBER STEAMED;II;2-3,5;28;-;-;-;1;-;-;-;-;1850,00 zł
;;;TA-28/III;TARCICA AKACJA PARZONA;SCHNITTHOLZ AKAZIE GEDÄMPFT;ACACIA TIMBER STEAMED;III;2-3,5;28;-;-;-;1;-;-;-;-;1250,00 zł
;;;TA-50/I;TARCICA AKACJA PARZONA;SCHNITTHOLZ AKAZIE GEDÄMPFT;ACACIA TIMBER STEAMED;I;2,5-3;50;-;-;-;1;-;-;-;-;2350,00 zł
;;;TA-50/II;TARCICA AKACJA PARZONA;SCHNITTHOLZ AKAZIE GEDÄMPFT;ACACIA TIMBER STEAMED;II;2,5-3;50;-;-;-;1;-;-;-;-;1850,00 zł
;;;TA-50/III;TARCICA AKACJA PARZONA;SCHNITTHOLZ AKAZIE GEDÄMPFT;ACACIA TIMBER STEAMED;III;2,5-3;50;-;-;-;1;-;-;-;-;1250,00 zł
